ff_id	sfam_id	seq_count	dops_score	gap_per	category
1.10.3160.10-ff-338	1.10.3160.10	27	94.421	26.13250700900103	low_seq
1.10.3230.10-ff-125	1.10.3230.10	14	88.298	29.183673469387756	low_seq
1.10.3370.10-ff-1858	1.10.3370.10	35	92.842	4.839371155160629	low_seq
1.10.340.20-ff-230	1.10.340.20	25	96.93	10.144329896907216	low_seq
1.10.3420.10-ff-1056	1.10.3420.10	20	86.051	16.06508875739645	low_seq
1.10.3440.10-ff-55	1.10.3440.10	19	74.946	1.2704174228675136	low_seq
1.10.3450.10-ff-899	1.10.3450.10	44	97.326	29.001450676982593	low_seq
1.10.3460.10-ff-1896	1.10.3460.10	12	87.393	51.50326797385621	low_seq
1.10.3490.10-ff-19	1.10.3490.10	24	94.884	8.120748299319727	low_seq
1.10.3510.10-ff-149	1.10.3510.10	15	95.752	23.164556962025316	low_seq
1.10.3570.10-ff-136	1.10.3570.10	36	96.479	51.82252388134741	low_seq
1.10.3610.10-ff-141	1.10.3610.10	18	70.418	5.683269476372924	low_seq
1.10.3700.10-ff-587	1.10.3700.10	17	85.107	19.24473493100944	low_seq
1.10.3740.10-ff-106	1.10.3740.10	21	89.434	41.19561493662213	low_seq
1.10.3790.10-ff-274	1.10.3790.10	15	71.361	3.1506849315068495	low_seq
1.10.3920.10-ff-248	1.10.3920.10	20	93.25	17.690058479532162	low_seq
1.10.40.30-ff-5446	1.10.40.30	13	83.389	0.4214963119072708	low_seq
1.10.400.10-ff-1433	1.10.400.10	16	95.793	1.084710743801653	low_seq
1.10.4030.10-ff-3328	1.10.4030.10	28	83.895	0.16741071428571427	low_seq
1.10.4140.10-ff-49	1.10.4140.10	10	89.088	22.11382113821138	low_seq
1.10.418.10-ff-2511	1.10.418.10	14	79.978	22.4120082815735	low_seq
1.10.420.10-ff-4824	1.10.420.10	13	71.757	46.33136094674556	low_seq
1.10.437.10-ff-597	1.10.437.10	36	73.892	10.208333333333334	low_seq
1.10.460.10-ff-6250	1.10.460.10	39	87.06	10.466053862280278	low_seq
1.10.468.10-ff-105	1.10.468.10	27	85.272	20.015352139704472	low_seq
1.10.470.10-ff-175	1.10.470.10	34	95.417	17.70086083213773	low_seq
1.10.472.10-ff-9827	1.10.472.10	45	77.195	18.395061728395063	low_seq
1.10.490.10-ff-5149	1.10.490.10	14	81.387	16.899852724594993	low_seq
1.10.510.10-ff-21589	1.10.510.10	36	82.01	16.256830601092897	low_seq
1.10.520.20-ff-2491	1.10.520.20	34	93.829	2.0697167755991286	low_seq
1.10.530.10-ff-12454	1.10.530.10	24	77.187	7.243589743589744	low_seq
1.10.533.10-ff-5056	1.10.533.10	41	70.167	4.541631623212784	low_seq
1.10.555.10-ff-4058	1.10.555.10	27	94.021	25.505050505050505	low_seq
1.10.560.10-ff-6273	1.10.560.10	13	72.17	17.94871794871795	low_seq
1.10.565.10-ff-5093	1.10.565.10	28	83.172	15.899847483477377	low_seq
1.10.569.10-ff-401	1.10.569.10	29	85.417	13.454721237512086	low_seq
1.10.580.10-ff-3668	1.10.580.10	41	85.83	60.676953708312595	low_seq
1.10.60.30-ff-1360	1.10.60.30	15	79.173	1.452991452991453	low_seq
1.10.600.10-ff-511	1.10.600.10	43	87.605	17.930828861061418	low_seq
1.10.620.20-ff-3296	1.10.620.20	90	84.514	9.76443610589952	low_seq
1.10.630.10-ff-5173	1.10.630.10	33	83.516	7.278611356281259	low_seq
1.10.720.10-ff-1693	1.10.720.10	17	73.555	25.570228091236494	low_seq
1.10.730.10-ff-13460	1.10.730.10	43	75.117	8.844834159359513	low_seq
1.10.740.10-ff-248	1.10.740.10	19	70.896	10.867446393762183	low_seq
1.10.760.10-ff-19981	1.10.760.10	13	89.242	9.013209013209012	low_seq
1.10.8.10-ff-15035	1.10.8.10	26	97.344	9.645909645909645	low_seq
1.10.840.10-ff-1388	1.10.840.10	33	73.697	2.378365326572498	low_seq
1.10.940.10-ff-3130	1.10.940.10	8	70.597	7.734375	low_seq
1.20.1050.10-ff-15459	1.20.1050.10	30	87.86	4.184397163120567	low_seq
1.20.1070.10-ff-676	1.20.1070.10	16	78.384	20.675587467362924	low_seq
1.20.1080.10-ff-5111	1.20.1080.10	11	75.115	1.3818181818181818	low_seq
1.20.120.140-ff-4557	1.20.120.140	24	82.383	12.8	low_seq
1.20.1230.10-ff-117	1.20.1230.10	34	83.519	14.43577430972389	low_seq
1.20.1250.10-ff-1230	1.20.1250.10	16	90.98	20.6640625	low_seq
1.20.1270.10-ff-5414	1.20.1270.10	13	72.791	0.8377760853008378	low_seq
1.20.1280.10-ff-21	1.20.1280.10	78	95.99	3.5572408811845433	low_seq
1.20.1310.10-ff-3173	1.20.1310.10	26	70.027	26.811270125223615	low_seq
1.20.1330.10-ff-3741	1.20.1330.10	23	87.311	33.73129009265859	low_seq
1.20.140.40-ff-708	1.20.140.40	43	73.265	42.40033222591362	low_seq
1.20.144.10-ff-1741	1.20.144.10	24	74.773	31.079234972677597	low_seq
1.20.1440.30-ff-588	1.20.1440.30	25	98.417	2.938775510204082	low_seq
1.20.150.10-ff-79	1.20.150.10	45	97.669	8.015325670498084	low_seq
1.20.1500.10-ff-1080	1.20.1500.10	7	76.656	1.4285714285714286	low_seq
1.20.1510.10-ff-5850	1.20.1510.10	31	72.814	9.690973163458931	low_seq
1.20.1540.10-ff-4918	1.20.1540.10	13	71.142	2.5510204081632653	low_seq
1.20.1560.10-ff-26528	1.20.1560.10	26	78.148	3.981900452488688	low_seq
1.20.1580.10-ff-2932	1.20.1580.10	42	82.285	28.900709219858157	low_seq
1.20.1640.10-ff-24243	1.20.1640.10	17	73.039	8.229770781552057	low_seq
1.20.1660.10-ff-1657	1.20.1660.10	6	91.984	16.203703703703702	low_seq
1.20.1710.10-ff-211	1.20.1710.10	11	92.512	20.25691699604743	low_seq
1.20.200.10-ff-7089	1.20.200.10	40	73.509	54.61009174311926	low_seq
1.20.5.100-ff-6532	1.20.5.100	38	72.317	3.793574846206425	low_seq
1.20.58.100-ff-3346	1.20.58.100	31	94.918	24.181236148731838	low_seq
1.20.80.10-ff-2639	1.20.80.10	42	74.351	0.34595034595034596	low_seq
1.20.85.10-ff-743	1.20.85.10	17	78.303	25.288053365676166	low_seq
1.20.850.10-ff-329	1.20.850.10	24	87.26	43.79800307219662	low_seq
1.20.870.10-ff-636	1.20.870.10	28	74.547	14.268377253814148	low_seq
1.20.900.10-ff-3402	1.20.900.10	13	80.824	17.394317394317394	low_seq
1.20.920.10-ff-4485	1.20.920.10	11	77.714	13.131313131313131	low_seq
1.20.930.10-ff-1134	1.20.930.10	25	86.418	8.363636363636363	low_seq
1.20.960.20-ff-382	1.20.960.20	85	74.368	13.402829486224869	low_seq
1.20.970.10-ff-3137	1.20.970.10	21	84.261	25.510204081632654	low_seq
1.25.10.10-ff-54837	1.25.10.10	23	79.301	31.36322463768116	low_seq
1.25.40.10-ff-3081	1.25.40.10	48	72.112	52.87176274018379	low_seq
1.50.10.130-ff-900	1.50.10.130	19	83.516	13.803376365441906	low_seq
1.50.40.10-ff-9295	1.50.40.10	22	70.287	11.681818181818182	low_seq
2.10.10.10-ff-690	2.10.10.10	32	81.868	7.2150735294117645	low_seq
2.10.109.10-ff-8925	2.10.109.10	16	73.604	7.5	low_seq
2.10.110.10-ff-5800	2.10.110.10	42	76.833	13.311688311688311	low_seq
2.10.220.10-ff-2942	2.10.220.10	27	74.302	52.72799681401832	low_seq
2.10.230.10-ff-4076	2.10.230.10	9	74.179	14.666666666666666	low_seq
2.10.25.10-ff-947	2.10.25.10	17	88.172	9.62566844919786	low_seq
2.10.270.10-ff-4918	2.10.270.10	8	70.869	19.776119402985074	low_seq
2.10.280.10-ff-665	2.10.280.10	12	99.06	13.125	low_seq
2.10.50.10-ff-720	2.10.50.10	29	79.829	25.627926777352066	low_seq
2.10.60.10-ff-2820	2.10.60.10	43	71.072	8.875177978168011	low_seq
2.10.70.10-ff-12637	2.10.70.10	32	77.14	5.113636363636363	low_seq
2.10.80.10-ff-393	2.10.80.10	8	70.784	14.880952380952381	low_seq
2.10.90.10-ff-1236	2.10.90.10	35	74.859	20.678314491264132	low_seq
2.100.10.10-ff-284	2.100.10.10	15	98.028	25.883838383838384	low_seq
2.102.10.10-ff-8186	2.102.10.10	47	79.487	26.95035460992908	low_seq
2.110.10.10-ff-1494	2.110.10.10	42	71.813	3.5	low_seq
2.115.10.20-ff-5427	2.115.10.20	22	70.935	8.942687747035572	low_seq
2.120.10.10-ff-727	2.120.10.10	64	74.674	6.640625	low_seq
2.130.10.10-ff-6112	2.130.10.10	22	76.673	30.56247405562474	low_seq
2.140.10.30-ff-11491	2.140.10.30	15	70.532	18.31474597273854	low_seq
2.160.10.10-ff-81740	2.160.10.10	19	84.252	6.333630686886709	low_seq
2.160.20.10-ff-22109	2.160.20.10	30	75.784	5.188034188034188	low_seq
2.170.120.20-ff-1606	2.170.120.20	27	93.385	10.493827160493828	low_seq
2.170.130.10-ff-20993	2.170.130.10	40	83.124	4.103053435114504	low_seq
2.170.140.10-ff-5361	2.170.140.10	15	85.727	6.770833333333333	low_seq
2.170.15.10-ff-422	2.170.15.10	6	87.38	8.857142857142858	low_seq
2.170.150.20-ff-2515	2.170.150.20	35	71.726	13.564993564993564	low_seq
2.170.16.10-ff-2730	2.170.16.10	7	72.286	28.147100424328148	low_seq
2.170.30.10-ff-83	2.170.30.10	44	84.939	10.285053929121725	low_seq
2.20.100.10-ff-9718	2.20.100.10	28	70.136	4.742388758782202	low_seq
2.20.20.10-ff-136	2.20.20.10	44	91.046	24.878246753246753	low_seq
2.20.25.110-ff-579	2.20.25.110	25	94.919	8.5	low_seq
2.20.70.10-ff-4624	2.20.70.10	32	81.527	32.45192307692308	low_seq
2.20.90.10-ff-92	2.20.90.10	41	88.348	3.7971175166297115	low_seq
2.30.110.10-ff-14216	2.30.110.10	29	73.118	4.9898580121703855	low_seq
2.30.130.10-ff-4773	2.30.130.10	39	79.915	0.026709401709401708	low_seq
2.30.210.10-ff-17	2.30.210.10	29	76.043	11.444277861069466	low_seq
2.30.22.10-ff-2338	2.30.22.10	19	79.111	8.881578947368421	low_seq
2.30.230.10-ff-546	2.30.230.10	8	76.695	2.834008097165992	low_seq
2.30.260.10-ff-470	2.30.260.10	19	91.949	5.4066985645933014	low_seq
2.30.27.10-ff-17	2.30.27.10	27	97.247	30.53297199638663	low_seq
2.30.29.30-ff-3240	2.30.29.30	39	71.197	3.3212872139046636	low_seq
2.30.290.10-ff-598	2.30.290.10	14	73.722	4.8901098901098905	low_seq
